epd,move,eval,depth,pv,engine
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,c4c5,1065,32,c4c5 b8d8 f5b1 e7f6 d1g1 g8g1 b1g1,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,f5b1,937,32,f5b1 e7h4 b1f5 e8g7 f5g4 h4e7 f3d5,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,f5c2,937,32,f5c2 e7g5 c2b1 e8f6 d1g1 g5g1 b1g1,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,f5d3,929,32,f5d3 e7g7 d3f5 e5e4 f5e4 e8f6 e4d4,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,d1g1,906,32,d1g1 g8f8 f5g5 e7g5 g1g5 f8f6 f3e4,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,d2e2,901,32,d2e2 g8f8 f5d3 e7g7 d1g1 g7f6 e2d2,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,d1e1,895,32,d1e1 g8f8 f5d3 e7g5 c4c5 f8g8 c5c6,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,f3c6,869,32,f3c6 g8f8 f5d3 f4f3 d3e3 f8g8 e3f3,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,f3e4,860,32,f3e4 g8f8 f5h5 e8f6 h5f3 d6d5 c4d5,Stockfish 15
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,f3d5,782,32,f3d5 g8f8 f5e6 e7e6 d5e6 e5e4 c4c5,Stockfish 15
